test_mini_C,500,2,1,nan,0.004535786,0.50,16109,nan,nan,nan,0.015,0.004
test_mini_C,500,2,2,nan,0.004660934,0.62,18812,nan,nan,nan,0.015,0.003
test_mini_C,500,2,4,nan,0.006019734,1.09,23489,nan,nan,nan,0.040,0.004
test_mini_C,500,2,8,nan,0.006162210,0.52,31661,nan,nan,nan,0.099,0.004
test_small_C,1000,10,1,nan,0.004752863,0.54,16211,nan,nan,nan,0.081,0.008
test_small_C,1000,10,2,nan,0.005228512,0.71,19690,nan,nan,nan,0.065,0.007
test_small_C,1000,10,4,nan,0.006342473,1.13,23946,nan,nan,nan,0.066,0.005
test_small_C,1000,10,8,nan,0.005663524,0.64,33182,nan,nan,nan,0.059,0.004
test_standard_C,10000,100,1,nan,0.011793849,1.60,18042,nan,nan,nan,2.360,0.030
test_standard_C,10000,100,2,nan,0.012799980,1.75,22648,nan,nan,nan,2.363,0.030
test_standard_C,10000,100,4,nan,0.010955350,1.57,30674,nan,nan,nan,3.047,0.019
test_standard_C,10000,100,8,nan,0.018987941,1.61,46882,nan,nan,nan,2.992,0.032
test_large_C,100000,1000,1,nan,0.512831261,1.87,37672,nan,nan,nan,239.750,0.305
test_large_C,100000,1000,2,nan,0.531279234,1.81,61423,nan,nan,nan,268.961,0.327
test_large_C,100000,1000,4,nan,0.622738638,1.55,117669,nan,nan,nan,309.061,0.346
test_large_C,100000,1000,8,nan,1.210062814,1.60,220083,nan,nan,nan,583.902,0.307
test_extralarge_C,1000000,1000,1,nan,5.177933227,1.83,86102,nan,nan,nan,2541.571,2.915
test_extralarge_C,1000000,1000,2,nan,6.481090046,1.47,165975,nan,nan,nan,3156.931,3.312
test_extralarge_C,1000000,1000,4,nan,11.477898170,0.83,573712,nan,nan,nan,5598.481,5.988
test_extralarge_C,1000000,1000,8,nan,23.450602750,0.81,nan,nan,nan,nan,11535.251,18.234
