dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_mini_CU_qa,500,2,nan,nan,0,109155968,0.51,410191,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,119450588,0.52,412298,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,113458341,0.51,411517,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,118050684,0.52,418832,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,110521046,0.51,411973,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,118697623,0.51,419437,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,115948700,0.51,412817,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,112287554,0.51,408878,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,115537372,0.51,415089,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,119665227,0.52,422102,nan,nan,nan,nan,nan
test_mini_CU_qa,500,2,nan,nan,0,116628261,0.51,413025,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,117493847,0.51,416158,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,126900360,0.52,422323,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,125038016,0.51,424249,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,116186653,0.52,425299,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,118033198,0.51,417240,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,117367230,0.51,427454,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,117028821,0.51,421943,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,110485834,0.51,423540,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,116744215,0.51,409721,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,119328413,0.51,416841,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,117844739,0.52,416300,nan,nan,nan,nan,nan
test_small_CU_qa,1000,10,nan,nan,0,116210941,0.51,418893,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,137649483,0.51,437394,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,136426195,0.51,440695,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,128322208,0.51,436046,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,142284135,0.51,444749,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,133970489,0.51,445026,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,136915822,0.52,441369,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,130343738,0.51,437885,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,134445828,0.51,437797,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,138840233,0.51,447259,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,135160060,0.51,444722,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,131980122,0.51,433676,nan,nan,nan,nan,nan
test_standard_CU_qa,10000,100,nan,nan,0,132879809,0.51,436518,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,350988081,0.51,587433,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,240517094,0.50,563311,nan,nan,nan,nan,nan
test_large_CU_qa,100000,1000,nan,nan,0,245358817,0.51,570393,nan,nan,nan,nan,nan
