test_mini_C,500,2,1,nan,0.005692050,0.52,16126,nan,nan,nan,0.050,0.008
test_mini_C,500,2,2,nan,0.004787998,0.63,18880,nan,nan,nan,0.016,0.004
test_mini_C,500,2,4,nan,0.005507224,1.05,23409,nan,nan,nan,0.093,0.006
test_mini_C,500,2,8,nan,0.005091003,0.50,31771,nan,nan,nan,0.084,0.003
test_small_C,1000,10,1,nan,0.005621632,0.56,16032,nan,nan,nan,0.126,0.011
test_small_C,1000,10,2,nan,0.004256379,0.68,19267,nan,nan,nan,0.046,0.005
test_small_C,1000,10,4,nan,0.004713845,1.05,23648,nan,nan,nan,0.062,0.006
test_small_C,1000,10,8,nan,0.005906898,0.64,32934,nan,nan,nan,0.160,0.009
test_standard_C,10000,100,1,nan,0.009846688,1.59,17922,nan,nan,nan,2.228,0.030
test_standard_C,10000,100,2,nan,0.009429805,1.74,22898,nan,nan,nan,2.521,0.032
test_standard_C,10000,100,4,nan,0.011232156,1.57,30783,nan,nan,nan,3.018,0.147
test_standard_C,10000,100,8,nan,0.019435913,1.63,46662,nan,nan,nan,2.340,0.029
test_large_C,100000,1000,1,nan,0.514554000,1.86,37281,nan,nan,nan,247.590,0.320
test_large_C,100000,1000,2,nan,0.530453965,1.82,61166,nan,nan,nan,254.403,0.314
test_large_C,100000,1000,4,nan,0.620307557,1.56,121769,nan,nan,nan,305.320,0.349
test_large_C,100000,1000,8,nan,1.225838517,1.58,224134,nan,nan,nan,518.010,0.305
test_extralarge_C,1000000,1000,1,nan,5.165550536,1.84,87076,nan,nan,nan,2546.307,2.920
test_extralarge_C,1000000,1000,2,nan,6.536813920,1.46,167237,nan,nan,nan,3162.135,3.297
test_extralarge_C,1000000,1000,4,nan,11.543651350,0.83,567130,nan,nan,nan,5879.552,7.047
test_extralarge_C,1000000,1000,8,nan,23.459020577,0.81,nan,nan,nan,nan,11638.065,6.233
