dataset,n,tsteps,cpu_threads,block_size,seconds_time_elapsed,insn_per_cycle,branch_misses,gpu_teams,gpu_threads_per_team,cuda_threads,ket,saxpy
test_extralarge_G,1000000,1000,nan,nan,1.175,0.09,1100769,4,128,nan,52.952,25.983
test_extralarge_G,1000000,1000,nan,nan,7.83,0.06,2564076,32,16,nan,3.646,1.869
test_extralarge_G,1000000,1000,nan,nan,6.720,0.06,2259718,32,128,nan,3.467,1.570
test_extralarge_G,1000000,1000,nan,nan,8.37,0.06,3249543,128,16,nan,4.817,2.424
test_extralarge_G,1000000,1000,nan,nan,5.907,0.06,2827291,128,128,nan,5.263,2.796
test_mini_CU_es,500,2,nan,32,0.011149,1.72,58113,nan,nan,128,0.001,0.000
test_mini_CU_es,500,2,nan,128,0.012089,1.66,58601,nan,nan,128,0.001,0.000
test_mini_CU_es,500,2,nan,256,0.010834,1.71,58593,nan,nan,128,0.001,0.000
test_mini_CU_es,500,2,nan,512,0.011127,1.71,57924,nan,nan,128,0.001,0.000
test_mini_CU_es,500,2,nan,32,0.011645,1.66,59571,nan,nan,256,0.001,0.000
test_mini_CU_es,500,2,nan,128,0.010679,1.71,57757,nan,nan,256,0.001,0.000
test_mini_CU_es,500,2,nan,256,0.011003,1.71,57627,nan,nan,256,0.001,0.000
test_mini_CU_es,500,2,nan,512,0.011040,1.71,57066,nan,nan,256,0.001,0.000
test_mini_CU_es,500,2,nan,32,0.011025,1.68,57976,nan,nan,512,0.001,0.000
test_mini_CU_es,500,2,nan,128,0.011243,1.69,58938,nan,nan,512,0.001,0.000
test_mini_CU_es,500,2,nan,256,0.011424,1.71,59110,nan,nan,512,0.001,0.000
test_mini_CU_es,500,2,nan,512,0.011044,1.67,58195,nan,nan,512,0.001,0.000
test_small_CU_es,1000,10,nan,32,0.011155,1.69,57969,nan,nan,128,0.001,0.000
test_small_CU_es,1000,10,nan,128,0.011232,1.70,58194,nan,nan,128,0.001,0.000
test_small_CU_es,1000,10,nan,256,0.011448,1.68,60348,nan,nan,128,0.001,0.000
test_small_CU_es,1000,10,nan,512,0.011024,1.70,58178,nan,nan,128,0.001,0.000
test_small_CU_es,1000,10,nan,32,0.011430,1.68,58108,nan,nan,256,0.001,0.000
test_small_CU_es,1000,10,nan,128,0.011399,1.68,57742,nan,nan,256,0.001,0.000
test_small_CU_es,1000,10,nan,256,0.010964,1.72,58103,nan,nan,256,0.001,0.000
test_small_CU_es,1000,10,nan,512,0.011198,1.70,56752,nan,nan,256,0.001,0.000
test_small_CU_es,1000,10,nan,32,0.010834,1.75,56450,nan,nan,512,0.001,0.000
test_small_CU_es,1000,10,nan,128,0.010716,1.73,57757,nan,nan,512,0.001,0.000
test_small_CU_es,1000,10,nan,256,0.011504,1.70,58533,nan,nan,512,0.001,0.000
test_small_CU_es,1000,10,nan,512,0.011452,1.71,57746,nan,nan,512,0.001,0.000
test_standard_CU_es,10000,100,nan,32,0.010775,1.72,58130,nan,nan,128,0.001,0.000
test_standard_CU_es,10000,100,nan,128,0.010716,1.70,58688,nan,nan,128,0.001,0.000
test_standard_CU_es,10000,100,nan,256,0.011082,1.68,58597,nan,nan,128,0.001,0.000
test_standard_CU_es,10000,100,nan,512,0.011154,1.70,58328,nan,nan,128,0.001,0.000
test_standard_CU_es,10000,100,nan,32,0.011682,1.67,59361,nan,nan,256,0.001,0.000
test_standard_CU_es,10000,100,nan,128,0.011700,1.68,58142,nan,nan,256,0.001,0.000
test_standard_CU_es,10000,100,nan,256,0.010941,1.71,58375,nan,nan,256,0.001,0.000
test_standard_CU_es,10000,100,nan,512,0.011173,1.70,57236,nan,nan,256,0.001,0.000
test_standard_CU_es,10000,100,nan,32,0.011592,1.68,58156,nan,nan,512,0.001,0.000
test_standard_CU_es,10000,100,nan,128,0.010578,1.72,56952,nan,nan,512,0.001,0.000
test_standard_CU_es,10000,100,nan,256,0.011306,1.72,58138,nan,nan,512,0.001,0.000
test_standard_CU_es,10000,100,nan,512,0.010998,1.73,57601,nan,nan,512,0.001,0.000
test_large_CU_es,100000,1000,nan,32,0.011571,1.71,58600,nan,nan,128,0.001,0.000
test_large_CU_es,100000,1000,nan,128,0.011233,1.71,57667,nan,nan,128,0.001,0.000
test_large_CU_es,100000,1000,nan,256,0.011303,1.70,57509,nan,nan,128,0.001,0.000
test_large_CU_es,100000,1000,nan,512,0.010737,1.73,57711,nan,nan,128,0.001,0.000
test_large_CU_es,100000,1000,nan,32,0.012140,1.59,59716,nan,nan,256,0.001,0.000
test_large_CU_es,100000,1000,nan,128,0.011032,1.73,57780,nan,nan,256,0.001,0.000
test_large_CU_es,100000,1000,nan,256,0.011109,1.72,57348,nan,nan,256,0.001,0.000
test_large_CU_es,100000,1000,nan,512,0.010819,1.73,57216,nan,nan,256,0.001,0.000
test_large_CU_es,100000,1000,nan,32,0.011254,1.68,59291,nan,nan,512,0.001,0.000
test_large_CU_es,100000,1000,nan,128,0.011205,1.72,59179,nan,nan,512,0.001,0.000
test_large_CU_es,100000,1000,nan,256,0.011438,1.67,58443,nan,nan,512,0.001,0.000
test_large_CU_es,100000,1000,nan,512,0.011300,1.69,59317,nan,nan,512,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,32,0.012286,1.65,60201,nan,nan,128,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,128,0.011334,1.71,57290,nan,nan,128,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,256,0.011137,1.70,58629,nan,nan,128,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,512,0.011477,1.69,58886,nan,nan,128,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,32,0.010868,1.71,58794,nan,nan,256,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,128,0.011540,1.70,57524,nan,nan,256,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,256,0.011232,1.71,58870,nan,nan,256,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,512,0.011210,1.69,57042,nan,nan,256,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,32,0.011154,1.72,58488,nan,nan,512,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,128,0.011376,1.70,58432,nan,nan,512,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,256,0.011317,1.69,58659,nan,nan,512,0.001,0.000
test_extralarge_CU_es,1000000,1000,nan,512,0.011257,1.69,57959,nan,nan,512,0.001,0.000
test_mini_CU_qa,500,2,nan,32,0.011312,1.72,57193,nan,nan,128,0.001,0.000
test_mini_CU_qa,500,2,nan,128,0.0114422,1.71,56450,nan,nan,128,0.001,0.000
test_mini_CU_qa,500,2,nan,256,0.010893,1.71,58057,nan,nan,128,0.001,0.000
test_mini_CU_qa,500,2,nan,512,0.011705,1.67,60224,nan,nan,128,0.001,0.000
test_mini_CU_qa,500,2,nan,32,0.011060,1.73,56622,nan,nan,256,0.001,0.000
test_mini_CU_qa,500,2,nan,128,0.010935,1.71,57731,nan,nan,256,0.001,0.000
test_mini_CU_qa,500,2,nan,256,0.011402,1.67,58908,nan,nan,256,0.001,0.000
